uniqueIdentifier,amount,date,bankName
BRI174,113537,2024-01-19,BRI
BNI175,108595,2024-01-26,BNI
BRI176,125352,2024-01-28,BRI
BRI177,-118479,2024-01-12,BRI
Mandiri178,-114092,2024-01-16,Mandiri
BRI179,-109651,2024-01-08,BRI
BNI180,101526,2024-01-14,BNI
BCA181,-109757,2024-01-18,BCA
Mandiri182,-104272,2024-01-15,Mandiri
BRI183,-129540,2024-01-28,BRI
Mandiri184,114128,2024-01-30,Mandiri
BCA185,-109773,2024-01-07,BCA
BNI186,-121945,2024-01-13,BNI
BCA187,130195,2024-01-31,BCA
BRI188,-106771,2024-01-01,BRI
Mandiri189,-119465,2024-01-29,Mandiri
Mandiri190,116194,2024-01-13,Mandiri
Mandiri191,-113189,2024-01-20,Mandiri
BRI192,132670,2024-01-11,BRI
Mandiri193,-119691,2024-01-31,Mandiri
BCA194,-119429,2024-01-31,BCA
BRI195,124374,2024-01-17,BRI
Mandiri196,-104953,2024-01-26,Mandiri
BNI197,-102199,2024-01-19,BNI
BRI198,-129639,2024-01-01,BRI
BNI199,108182,2024-01-20,BNI
BCA200,108583,2024-01-21,BCA
BNI201,115646,2024-01-12,BNI
BCA202,123648,2024-01-12,BCA
Mandiri203,-118467,2024-01-09,Mandiri
BRI204,113677,2024-01-27,BRI
BCA205,-104436,2024-01-07,BCA
BRI206,114350,2024-01-10,BRI
Mandiri207,-131204,2024-01-22,Mandiri
BNI208,109118,2024-01-28,BNI
BNI209,121004,2024-01-03,BNI
Mandiri210,-115704,2024-01-29,Mandiri
BRI211,-129771,2024-01-08,BRI
BNI212,-118860,2024-01-24,BNI
Mandiri213,-132281,2024-01-07,Mandiri
BNI214,-125090,2024-01-30,BNI
Mandiri215,-101321,2024-01-03,Mandiri
BCA216,-103984,2024-01-27,BCA
Mandiri217,132005,2024-01-09,Mandiri
Mandiri218,-117876,2024-01-04,Mandiri
Mandiri219,-123470,2024-01-29,Mandiri
BCA220,130420,2024-01-26,BCA
BNI221,107309,2024-01-02,BNI
BNI222,-131016,2024-01-05,BNI
BRI223,114280,2024-01-22,BRI
Mandiri224,-117285,2024-01-21,Mandiri
BNI225,-112515,2024-01-01,BNI
Mandiri226,102872,2024-01-03,Mandiri
BRI227,-112856,2024-01-06,BRI
Mandiri228,102778,2024-01-10,Mandiri
BCA229,129602,2024-01-31,BCA
BCA230,-103108,2024-01-05,BCA
BNI231,106515,2024-01-05,BNI
Mandiri232,113219,2024-01-11,Mandiri
Mandiri233,132143,2024-01-10,Mandiri
BNI234,-128357,2024-01-05,BNI
Mandiri235,107998,2024-01-23,Mandiri
BNI236,-113427,2024-01-08,BNI
BCA237,130484,2024-01-15,BCA
BRI238,130260,2024-01-20,BRI
BCA239,121255,2024-01-07,BCA
Mandiri240,-107053,2024-01-08,Mandiri
BRI241,-123421,2024-01-06,BRI
BCA242,106936,2024-01-30,BCA
Mandiri243,-109476,2024-01-27,Mandiri
BRI244,111406,2024-01-25,BRI
BCA245,127376,2024-01-07,BCA
BCA246,105298,2024-01-27,BCA
BCA247,128172,2024-01-01,BCA
Mandiri248,-108158,2024-01-23,Mandiri
BRI249,-110029,2024-01-25,BRI
BCA250,129096,2024-01-24,BCA
BNI251,114392,2024-01-17,BNI
BRI252,-120438,2024-01-14,BRI
Mandiri253,130473,2024-01-13,Mandiri
BNI254,-127796,2024-01-30,BNI
BCA255,-117464,2024-01-07,BCA
BCA256,-124497,2024-01-27,BCA
Mandiri257,119626,2024-01-27,Mandiri
BCA258,-126699,2024-01-18,BCA
BCA259,101909,2024-01-07,BCA
Mandiri260,-110291,2024-01-12,Mandiri
BNI261,127266,2024-01-23,BNI
Mandiri262,-116365,2024-01-28,Mandiri
BNI263,107915,2024-01-27,BNI
BCA264,-130234,2024-01-03,BCA
BCA265,108972,2024-01-25,BCA
Mandiri266,122192,2024-01-02,Mandiri
Mandiri267,-129379,2024-01-10,Mandiri
BNI268,-126183,2024-01-08,BNI
BNI269,112105,2024-01-06,BNI
BNI270,-104971,2024-01-06,BNI
Mandiri271,-101714,2024-01-08,Mandiri
Mandiri272,127564,2024-01-23,Mandiri
BRI273,-130712,2024-01-30,BRI
BNI274,-113284,2024-01-09,BNI
BCA275,113076,2024-01-23,BCA
BCA276,-119187,2024-01-11,BCA
BCA277,-128056,2024-01-29,BCA
BRI278,-109177,2024-01-02,BRI
BCA279,-117095,2024-01-22,BCA
Mandiri280,-106131,2024-01-08,Mandiri
Mandiri281,119229,2024-01-06,Mandiri
BCA282,117359,2024-01-17,BCA
BNI283,112743,2024-01-19,BNI
BRI284,-100210,2024-01-08,BRI
Mandiri285,124436,2024-01-19,Mandiri
BNI286,119357,2024-01-17,BNI
BRI287,-102189,2024-01-03,BRI
BCA288,-129433,2024-01-18,BCA
BRI289,114775,2024-01-02,BRI
Mandiri290,-113494,2024-01-27,Mandiri
BRI291,104135,2024-01-04,BRI
BCA292,-126043,2024-01-17,BCA
BNI293,121552,2024-01-11,BNI
Mandiri294,-122585,2024-01-16,Mandiri
BRI295,-123318,2024-01-10,BRI
BRI296,122211,2024-01-03,BRI
BRI297,106670,2024-01-08,BRI
BCA298,-111449,2024-01-14,BCA
BCA299,-124299,2024-01-30,BCA
Mandiri300,-117473,2024-01-09,Mandiri
BCA301,125577,2024-01-21,BCA
BCA302,120428,2024-01-22,BCA
Mandiri303,-106815,2024-01-23,Mandiri
BNI304,-112499,2024-01-25,BNI
Mandiri305,-118166,2024-01-10,Mandiri
Mandiri306,118260,2024-01-01,Mandiri
Mandiri307,-101461,2024-01-07,Mandiri
Mandiri308,132052,2024-01-18,Mandiri
BNI309,-121257,2024-01-30,BNI
BCA310,109871,2024-01-07,BCA
BCA311,-117425,2024-01-06,BCA
BCA312,109126,2024-01-30,BCA
BRI313,106991,2024-01-25,BRI
BCA314,100736,2024-01-01,BCA
BNI315,123189,2024-01-12,BNI
BNI316,108479,2024-01-24,BNI
BRI317,-109671,2024-01-17,BRI
Mandiri318,-125690,2024-01-15,Mandiri
BNI319,-124704,2024-01-08,BNI
BCA320,-106197,2024-01-01,BCA
BRI321,-107556,2024-01-03,BRI
Mandiri322,107697,2024-01-25,Mandiri
BCA323,-127013,2024-01-30,BCA
BCA324,131178,2024-01-16,BCA
BRI325,-125507,2024-01-22,BRI
Mandiri326,-114879,2024-01-09,Mandiri
Mandiri327,109389,2024-01-06,Mandiri
Mandiri328,116247,2024-01-04,Mandiri
BNI329,-123309,2024-01-30,BNI
BRI330,125976,2024-01-05,BRI
BRI331,-127629,2024-01-12,BRI
Mandiri332,-100952,2024-01-31,Mandiri
Mandiri333,-102797,2024-01-14,Mandiri
BNI334,-101901,2024-01-24,BNI
BCA335,116517,2024-01-21,BCA
BCA336,100987,2024-01-17,BCA
Mandiri337,-129679,2024-01-04,Mandiri
BRI338,-128928,2024-01-24,BRI
BCA339,-128702,2024-01-05,BCA
Mandiri340,-122440,2024-01-26,Mandiri
BCA341,113373,2024-01-14,BCA
BRI342,120460,2024-01-06,BRI
Mandiri343,124226,2024-01-20,Mandiri
BNI344,127344,2024-01-02,BNI
Mandiri345,-122073,2024-01-27,Mandiri
BCA346,-120851,2024-01-12,BCA
BNI347,-112505,2024-01-24,BNI
BNI348,101046,2024-01-22,BNI
BCA349,-126105,2024-01-15,BCA
BRI350,108421,2024-01-12,BRI
BRI351,121447,2024-01-26,BRI
BNI352,-126174,2024-01-10,BNI
Mandiri353,110630,2024-01-05,Mandiri
BRI354,-111764,2024-01-21,BRI
BRI355,107368,2024-01-14,BRI
BCA356,-122201,2024-01-07,BCA
Mandiri357,-106100,2024-01-30,Mandiri
BRI358,-126297,2024-01-14,BRI
BRI359,132359,2024-01-05,BRI
Mandiri360,-105644,2024-01-26,Mandiri
Mandiri361,127264,2024-01-29,Mandiri
BRI362,-120868,2024-01-18,BRI
BNI363,103585,2024-01-22,BNI
BRI364,105636,2024-01-09,BRI
Mandiri365,-126188,2024-01-14,Mandiri
BRI366,112903,2024-01-01,BRI
Mandiri367,-122045,2024-01-07,Mandiri
BRI368,131131,2024-01-26,BRI
BRI369,113914,2024-01-01,BRI
BCA370,-110368,2024-01-19,BCA
BCA371,-112680,2024-01-03,BCA
BNI372,-110920,2024-01-20,BNI
BCA373,130250,2024-01-22,BCA
BNI374,-128424,2024-01-20,BNI
BRI375,-111058,2024-01-12,BRI
BRI376,-104424,2024-01-14,BRI
BCA377,-118003,2024-01-11,BCA
Mandiri378,-111807,2024-01-04,Mandiri
BNI379,-107883,2024-01-09,BNI
BCA380,114606,2024-01-05,BCA
Mandiri381,-102052,2024-01-29,Mandiri
Mandiri382,101877,2024-01-27,Mandiri
BNI383,105660,2024-01-30,BNI
BCA384,128652,2024-01-05,BCA
Mandiri385,-106968,2024-01-13,Mandiri
BCA386,118935,2024-01-12,BCA
BRI387,-107974,2024-01-26,BRI
BRI388,110975,2024-01-28,BRI
BCA389,115291,2024-01-23,BCA
BRI390,131517,2024-01-06,BRI
BNI391,105884,2024-01-01,BNI
Mandiri392,115453,2024-01-13,Mandiri
Mandiri393,-122752,2024-01-05,Mandiri
BRI394,107543,2024-01-14,BRI
BCA395,-109567,2024-01-23,BCA
BCA396,-110366,2024-01-08,BCA
BCA397,-101023,2024-01-29,BCA
BCA398,125810,2024-01-31,BCA
Mandiri399,-125885,2024-01-17,Mandiri
BRI400,-108940,2024-01-10,BRI
BRI401,120912,2024-01-19,BRI
BRI402,116748,2024-01-01,BRI
BNI403,-129993,2024-01-31,BNI
BNI404,-100651,2024-01-25,BNI
Mandiri405,-118888,2024-01-16,Mandiri
BCA406,-128411,2024-01-10,BCA
Mandiri407,-128282,2024-01-22,Mandiri
BRI408,114054,2024-01-26,BRI
BRI409,116919,2024-01-04,BRI
BRI410,129566,2024-01-08,BRI
Mandiri411,-131395,2024-01-02,Mandiri
Mandiri412,-102912,2024-01-08,Mandiri
Mandiri413,-116349,2024-01-28,Mandiri
BNI414,-114785,2024-01-16,BNI
Mandiri415,101846,2024-01-27,Mandiri
BCA416,-117430,2024-01-29,BCA
BCA417,115376,2024-01-22,BCA
BRI418,-113233,2024-01-04,BRI
Mandiri419,-120953,2024-01-31,Mandiri
BRI420,124725,2024-01-27,BRI
BCA421,-126192,2024-01-28,BCA
BCA422,-112389,2024-01-22,BCA
BNI423,-118724,2024-01-24,BNI
BRI424,-104160,2024-01-29,BRI
Mandiri425,-117061,2024-01-14,Mandiri
BRI426,-120967,2024-01-02,BRI
BNI427,-132319,2024-01-28,BNI
BNI428,109341,2024-01-04,BNI
BRI429,-115870,2024-01-17,BRI
BCA430,-120166,2024-01-06,BCA
BCA431,109023,2024-01-31,BCA
BCA432,103237,2024-01-09,BCA
BNI433,-105481,2024-01-07,BNI
BCA434,127483,2024-01-03,BCA
BNI435,121051,2024-01-19,BNI
BRI436,110153,2024-01-09,BRI
BRI437,-111281,2024-01-28,BRI
BNI438,-122237,2024-01-24,BNI
BCA439,-106448,2024-01-03,BCA
BNI440,130595,2024-01-16,BNI
Mandiri441,111259,2024-01-27,Mandiri
BCA442,122566,2024-01-09,BCA
BCA443,-101690,2024-01-21,BCA
BRI444,100611,2024-01-13,BRI
BCA445,-103455,2024-01-21,BCA
BRI446,-130274,2024-01-25,BRI
BNI447,-113005,2024-01-30,BNI
BCA448,128052,2024-01-27,BCA
Mandiri449,-124967,2024-01-29,Mandiri
Mandiri450,-102236,2024-01-21,Mandiri
BCA451,-100535,2024-01-13,BCA
BNI452,107730,2024-01-22,BNI
BNI453,-131370,2024-01-21,BNI
BNI454,123463,2024-01-05,BNI
BRI455,-107063,2024-01-10,BRI
BCA456,-127533,2024-01-03,BCA
BCA457,-120551,2024-01-13,BCA
BCA458,121358,2024-01-02,BCA
BCA459,-120698,2024-01-06,BCA
BNI460,112122,2024-01-17,BNI
BCA461,-114912,2024-01-07,BCA
BRI462,-115450,2024-01-07,BRI
Mandiri463,-129241,2024-01-28,Mandiri
BNI464,116287,2024-01-23,BNI
BRI465,-123804,2024-01-01,BRI
BCA466,112775,2024-01-06,BCA
BRI467,119445,2024-01-04,BRI
BRI468,107771,2024-01-10,BRI
BNI469,-126107,2024-01-09,BNI
BNI470,-118886,2024-01-23,BNI
BCA471,118446,2024-01-05,BCA
BCA472,127383,2024-01-18,BCA
Mandiri473,-129304,2024-01-05,Mandiri
BRI474,128337,2024-01-06,BRI
BNI475,-128903,2024-01-16,BNI
BRI476,-124943,2024-01-10,BRI
BNI477,-115584,2024-01-28,BNI
BRI478,-105873,2024-01-06,BRI
BNI479,120634,2024-01-22,BNI
Mandiri480,129503,2024-01-27,Mandiri
BRI481,127925,2024-01-21,BRI
Mandiri482,117071,2024-01-06,Mandiri
BNI483,126906,2024-01-03,BNI
Mandiri484,117934,2024-01-11,Mandiri
Mandiri485,110082,2024-01-20,Mandiri
BNI486,-128157,2024-01-17,BNI
BCA487,-116653,2024-01-25,BCA
Mandiri488,-109244,2024-01-11,Mandiri
Mandiri489,113885,2024-01-14,Mandiri
BNI490,-125250,2024-01-25,BNI
Mandiri491,116743,2024-01-05,Mandiri
BCA492,110860,2024-01-06,BCA
Mandiri493,-127326,2024-01-06,Mandiri
BNI494,-105544,2024-01-16,BNI
Mandiri495,124517,2024-01-27,Mandiri
Mandiri496,-116561,2024-01-14,Mandiri
BNI497,104066,2024-01-05,BNI
BRI498,131911,2024-01-12,BRI
BNI499,120879,2024-01-14,BNI
BCA500,-109976,2024-01-10,BCA
BNI501,-103199,2024-01-14,BNI
BCA502,-101742,2024-01-23,BCA
Mandiri503,-117355,2024-01-15,Mandiri
Mandiri504,109497,2024-01-27,Mandiri
BCA505,-104101,2024-01-13,BCA
Mandiri506,-109653,2024-01-13,Mandiri
Mandiri507,121441,2024-01-14,Mandiri
Mandiri508,110205,2024-01-25,Mandiri
BCA509,-126105,2024-01-13,BCA
BRI510,-104580,2024-01-08,BRI
BCA511,117491,2024-01-18,BCA
BCA512,122510,2024-01-14,BCA
BCA513,-119506,2024-01-14,BCA
BCA514,114113,2024-01-12,BCA
BCA515,-111289,2024-01-23,BCA
Mandiri516,-130338,2024-01-22,Mandiri
Mandiri517,-126576,2024-01-24,Mandiri
BRI518,-129821,2024-01-03,BRI
BNI519,106207,2024-01-14,BNI
BCA520,103015,2024-01-27,BCA
Mandiri521,-113567,2024-01-31,Mandiri
BCA522,107196,2024-01-24,BCA
BRI523,-124606,2024-01-29,BRI
BCA524,113068,2024-01-04,BCA
Mandiri525,-103440,2024-01-06,Mandiri
Mandiri526,-124263,2024-01-14,Mandiri
BCA527,109627,2024-01-13,BCA
Mandiri528,104275,2024-01-27,Mandiri
BRI529,108595,2024-01-13,BRI
BRI530,103890,2024-01-31,BRI
BRI531,115937,2024-01-31,BRI
BCA532,115833,2024-01-30,BCA
BCA533,-100148,2024-01-13,BCA
BRI534,126893,2024-01-12,BRI
BNI535,-100287,2024-01-24,BNI
Mandiri536,-113761,2024-01-27,Mandiri
BRI537,102843,2024-01-24,BRI
BCA538,-118379,2024-01-26,BCA
BNI539,-113667,2024-01-28,BNI
Mandiri540,-104356,2024-01-30,Mandiri
BCA541,-127842,2024-01-21,BCA
BNI542,-131028,2024-01-10,BNI
Mandiri543,107602,2024-01-08,Mandiri
BRI544,-106778,2024-01-02,BRI
BCA545,130805,2024-01-16,BCA
Mandiri546,106060,2024-01-12,Mandiri
Mandiri547,123629,2024-01-17,Mandiri
BCA548,102534,2024-01-03,BCA
BNI549,100715,2024-01-11,BNI
BNI550,106208,2024-01-23,BNI
BCA551,-111236,2024-01-15,BCA
BNI552,128771,2024-01-16,BNI
Mandiri553,106407,2024-01-02,Mandiri
BNI554,130836,2024-01-08,BNI
BRI555,110551,2024-01-10,BRI
BNI556,-108849,2024-01-12,BNI
BCA557,-111342,2024-01-06,BCA
BRI558,114287,2024-01-16,BRI
BNI559,-110609,2024-01-08,BNI
Mandiri560,111390,2024-01-06,Mandiri
BNI561,104486,2024-01-21,BNI
BRI562,-102338,2024-01-27,BRI
BNI563,-122852,2024-01-25,BNI
BCA564,106997,2024-01-03,BCA
BRI565,128468,2024-01-22,BRI
BRI566,126522,2024-01-04,BRI
BCA567,108387,2024-01-30,BCA
BRI568,110440,2024-01-27,BRI
BRI569,130258,2024-01-14,BRI
BCA570,131627,2024-01-26,BCA
BCA571,102050,2024-01-29,BCA
BRI572,105181,2024-01-02,BRI
BCA573,-100306,2024-01-08,BCA
Mandiri574,131481,2024-01-24,Mandiri
Mandiri575,-106254,2024-01-16,Mandiri
BRI576,-113754,2024-01-20,BRI
Mandiri577,130454,2024-01-04,Mandiri
BCA578,129158,2024-01-27,BCA
BRI579,130444,2024-01-11,BRI
BRI580,-105777,2024-01-02,BRI
BCA581,-102892,2024-01-28,BCA
BNI582,107774,2024-01-17,BNI
BCA583,-112980,2024-01-08,BCA
BRI584,-107114,2024-01-27,BRI
BNI585,115051,2024-01-25,BNI
Mandiri586,119523,2024-01-25,Mandiri
BCA587,101258,2024-01-22,BCA
BNI588,-103667,2024-01-16,BNI
BRI589,107503,2024-01-13,BRI
BCA590,123767,2024-01-02,BCA
BNI591,132001,2024-01-05,BNI
BRI592,103305,2024-01-10,BRI
BCA593,127444,2024-01-13,BCA
BCA594,126125,2024-01-13,BCA
BNI595,121966,2024-01-17,BNI
BCA596,113252,2024-01-25,BCA
BRI597,120820,2024-01-03,BRI
Mandiri598,-105519,2024-01-16,Mandiri
BNI599,-128525,2024-01-27,BNI
Mandiri600,-101541,2024-01-24,Mandiri
BRI601,128610,2024-01-08,BRI
BCA602,117293,2024-01-07,BCA
Mandiri603,-110711,2024-01-06,Mandiri
BRI604,-125823,2024-01-20,BRI
BRI605,-108002,2024-01-05,BRI
BRI606,124907,2024-01-02,BRI
BRI607,-107231,2024-01-03,BRI
BCA608,108327,2024-01-01,BCA
Mandiri609,-122927,2024-01-07,Mandiri
BNI610,112137,2024-01-25,BNI
BRI611,-125904,2024-01-20,BRI
BNI612,128379,2024-01-05,BNI
BCA613,124651,2024-01-14,BCA
BCA614,126607,2024-01-14,BCA
BRI615,-103943,2024-01-12,BRI
BRI616,-121459,2024-01-09,BRI
BRI617,-132452,2024-01-30,BRI
BCA618,-118463,2024-01-14,BCA
BCA619,118288,2024-01-01,BCA
BCA620,-118347,2024-01-03,BCA
BCA621,100620,2024-01-20,BCA
BCA622,-109721,2024-01-14,BCA
Mandiri623,124065,2024-01-30,Mandiri
Mandiri624,109933,2024-01-27,Mandiri
BRI625,-117941,2024-01-03,BRI
BCA626,-132140,2024-01-15,BCA
BCA627,121273,2024-01-13,BCA
BCA628,114207,2024-01-12,BCA
BCA629,-127631,2024-01-22,BCA
Mandiri630,108706,2024-01-02,Mandiri
BNI631,-126071,2024-01-18,BNI
Mandiri632,120817,2024-01-08,Mandiri
BRI633,108770,2024-01-01,BRI
BCA634,132362,2024-01-11,BCA
BRI635,-125883,2024-01-30,BRI
Mandiri636,129251,2024-01-15,Mandiri
Mandiri637,103818,2024-01-23,Mandiri
BCA638,-104674,2024-01-14,BCA
Mandiri639,-115582,2024-01-29,Mandiri
BNI640,119896,2024-01-20,BNI
BNI641,-115766,2024-01-20,BNI
BNI642,-105579,2024-01-25,BNI
Mandiri643,131824,2024-01-11,Mandiri
Mandiri644,-108477,2024-01-12,Mandiri
Mandiri645,-111455,2024-01-08,Mandiri
BRI646,129195,2024-01-15,BRI
BCA647,120661,2024-01-09,BCA
BNI648,123127,2024-01-24,BNI
BCA649,-121866,2024-01-09,BCA
BCA650,-130881,2024-01-24,BCA
BCA651,-112543,2024-01-24,BCA
BCA652,123537,2024-01-29,BCA
Mandiri653,118844,2024-01-26,Mandiri
Mandiri654,101867,2024-01-01,Mandiri
BNI655,113867,2024-01-20,BNI
Mandiri656,127393,2024-01-06,Mandiri
Mandiri657,117825,2024-01-02,Mandiri
BRI658,100824,2024-01-08,BRI
BRI659,123644,2024-01-08,BRI
BCA660,-104830,2024-01-11,BCA
BNI661,-120475,2024-01-31,BNI
Mandiri662,122541,2024-01-03,Mandiri
BNI663,-110424,2024-01-06,BNI
Mandiri664,102691,2024-01-23,Mandiri
BRI665,-117451,2024-01-11,BRI
Mandiri666,126296,2024-01-30,Mandiri
BRI667,128677,2024-01-03,BRI
BCA668,-126560,2024-01-14,BCA
BRI669,125634,2024-01-21,BRI
Mandiri670,104086,2024-01-10,Mandiri
Mandiri671,-114849,2024-01-02,Mandiri
Mandiri672,-111301,2024-01-23,Mandiri
BNI673,-119588,2024-01-05,BNI
Mandiri674,118085,2024-01-28,Mandiri
Mandiri675,-132132,2024-01-06,Mandiri
BCA676,-130638,2024-01-28,BCA
BRI677,126529,2024-01-01,BRI
BRI678,121962,2024-01-16,BRI
