trxID,amount,type,transactionTime
TRX000047,118970,CREDIT,2024-01-14T21:00:00
TRX000048,127972,DEBIT,2024-01-26T20:06:00
TRX000049,115122,DEBIT,2024-01-26T23:08:00
TRX000050,121635,DEBIT,2024-01-11T01:10:00
TRX000051,125651,CREDIT,2024-01-06T11:20:00
TRX000052,111247,CREDIT,2024-01-09T13:04:00
TRX000053,126443,DEBIT,2024-01-10T06:35:00
TRX000054,120288,CREDIT,2024-01-20T19:15:00
TRX000055,131019,DEBIT,2024-01-31T10:28:00
TRX000056,115392,CREDIT,2024-01-06T02:29:00
TRX000057,111927,CREDIT,2024-01-29T17:48:00
TRX000058,110929,CREDIT,2024-01-22T20:50:00
TRX000059,119124,DEBIT,2024-01-16T12:09:00
TRX000060,106238,DEBIT,2024-01-06T10:06:00
TRX000061,100583,DEBIT,2024-01-31T11:41:00
TRX000062,100248,DEBIT,2024-01-05T12:49:00
TRX000063,115837,CREDIT,2024-01-11T09:18:00
TRX000064,128109,CREDIT,2024-01-02T21:08:00
TRX000065,104541,DEBIT,2024-01-30T09:19:00
TRX000066,111320,CREDIT,2024-01-07T05:29:00
TRX000067,105418,CREDIT,2024-01-21T19:37:00
TRX000068,121728,DEBIT,2024-01-05T21:15:00
TRX000069,111110,DEBIT,2024-01-01T16:59:00
TRX000070,117053,CREDIT,2024-01-17T05:34:00
TRX000071,124434,CREDIT,2024-01-17T09:40:00
TRX000072,107103,DEBIT,2024-01-13T02:34:00
TRX000073,122651,DEBIT,2024-01-18T17:33:00
TRX000074,104648,DEBIT,2024-01-02T18:43:00
TRX000075,122395,DEBIT,2024-01-28T13:54:00
TRX000076,128280,DEBIT,2024-01-31T00:19:00
TRX000077,120342,DEBIT,2024-01-24T04:13:00
TRX000078,118494,CREDIT,2024-01-14T07:39:00
TRX000079,112374,CREDIT,2024-01-06T20:50:00
TRX000080,126856,CREDIT,2024-01-31T10:31:00
TRX000081,106485,CREDIT,2024-01-09T21:38:00
TRX000082,112527,CREDIT,2024-01-15T17:10:00
TRX000083,102683,CREDIT,2024-01-27T01:56:00
TRX000084,124168,CREDIT,2024-01-19T19:07:00
TRX000085,101425,CREDIT,2024-01-08T10:50:00
TRX000086,114854,CREDIT,2024-01-04T08:41:00
TRX000087,103490,DEBIT,2024-01-08T08:30:00
TRX000088,125398,CREDIT,2024-01-24T17:30:00
TRX000089,118652,CREDIT,2024-01-10T17:58:00
TRX000090,109684,CREDIT,2024-01-20T14:12:00
TRX000091,125447,CREDIT,2024-01-31T12:24:00
TRX000092,125513,DEBIT,2024-01-18T16:14:00
TRX000093,125244,DEBIT,2024-01-24T18:30:00
TRX000094,106587,CREDIT,2024-01-04T18:08:00
TRX000095,103739,CREDIT,2024-01-21T17:07:00
TRX000096,121778,CREDIT,2024-01-02T00:22:00
TRX000097,109514,DEBIT,2024-01-20T08:20:00
TRX000098,129819,DEBIT,2024-01-08T10:39:00
TRX000099,123403,DEBIT,2024-01-27T23:35:00
TRX000100,119571,DEBIT,2024-01-01T15:12:00
TRX000101,131946,DEBIT,2024-01-13T15:34:00
TRX000102,106207,DEBIT,2024-01-27T19:47:00
TRX000103,125650,DEBIT,2024-01-19T19:40:00
TRX000104,101761,DEBIT,2024-01-20T05:39:00
TRX000105,120841,CREDIT,2024-01-15T04:42:00
TRX000106,105222,DEBIT,2024-01-28T01:23:00
TRX000107,126398,CREDIT,2024-01-08T06:19:00
TRX000108,112217,CREDIT,2024-01-02T01:56:00
TRX000109,107960,DEBIT,2024-01-13T15:12:00
TRX000110,123313,CREDIT,2024-01-29T05:21:00
TRX000111,126756,DEBIT,2024-01-05T18:43:00
TRX000112,128805,DEBIT,2024-01-27T23:39:00
TRX000113,108523,DEBIT,2024-01-02T18:25:00
TRX000114,128271,CREDIT,2024-01-08T01:00:00
TRX000115,124066,CREDIT,2024-01-08T01:59:00
TRX000116,105804,CREDIT,2024-01-06T15:57:00
TRX000117,111472,DEBIT,2024-01-18T08:38:00
TRX000118,112746,CREDIT,2024-01-15T21:32:00
TRX000119,124153,CREDIT,2024-01-06T20:41:00
TRX000120,123259,CREDIT,2024-01-12T21:48:00
TRX000121,105265,DEBIT,2024-01-19T21:28:00
TRX000122,119025,CREDIT,2024-01-21T23:55:00
TRX000123,104615,CREDIT,2024-01-08T13:45:00
TRX000124,105685,CREDIT,2024-01-21T11:14:00
TRX000125,113577,CREDIT,2024-01-31T16:38:00
TRX000126,115267,CREDIT,2024-01-04T21:22:00
TRX000127,124743,DEBIT,2024-01-24T04:47:00
TRX000128,128988,CREDIT,2024-01-26T22:11:00
TRX000129,100646,CREDIT,2024-01-08T09:20:00
TRX000130,111294,DEBIT,2024-01-25T04:24:00
TRX000131,105896,DEBIT,2024-01-12T01:41:00
TRX000132,122654,CREDIT,2024-01-21T03:16:00
TRX000133,113859,DEBIT,2024-01-15T10:49:00
TRX000134,131980,CREDIT,2024-01-09T05:43:00
TRX000135,100526,DEBIT,2024-01-21T07:21:00
TRX000136,117150,CREDIT,2024-01-20T08:05:00
TRX000137,130083,DEBIT,2024-01-25T23:59:00
TRX000138,108649,CREDIT,2024-01-30T18:03:00
TRX000139,114923,CREDIT,2024-01-17T19:53:00
TRX000140,105736,CREDIT,2024-01-05T03:09:00
TRX000141,104430,CREDIT,2024-01-03T22:22:00
TRX000142,125748,DEBIT,2024-01-23T04:43:00
TRX000143,107259,CREDIT,2024-01-27T08:05:00
TRX000144,113554,DEBIT,2024-01-10T20:04:00
TRX000145,113931,CREDIT,2024-01-27T14:43:00
TRX000146,100156,CREDIT,2024-01-16T02:58:00
TRX000147,110754,DEBIT,2024-01-24T19:05:00
TRX000148,100275,DEBIT,2024-01-02T09:57:00
TRX000149,111778,CREDIT,2024-01-07T08:50:00
TRX000150,116806,CREDIT,2024-01-20T09:42:00
TRX000151,120487,DEBIT,2024-01-17T05:51:00
TRX000152,125318,DEBIT,2024-01-29T06:56:00
TRX000153,102095,CREDIT,2024-01-28T14:13:00
TRX000154,104800,CREDIT,2024-01-31T23:27:00
TRX000155,119662,CREDIT,2024-01-19T05:11:00
TRX000156,107003,DEBIT,2024-01-30T17:47:00
TRX000157,119845,DEBIT,2024-01-27T21:08:00
TRX000158,110440,CREDIT,2024-01-30T23:57:00
TRX000159,113239,DEBIT,2024-01-08T09:16:00
TRX000160,128963,DEBIT,2024-01-04T15:48:00
TRX000161,104937,CREDIT,2024-01-01T20:33:00
TRX000162,113498,CREDIT,2024-01-13T18:32:00
TRX000163,118745,DEBIT,2024-01-12T17:22:00
TRX000164,100856,DEBIT,2024-01-20T09:59:00
TRX000165,103690,DEBIT,2024-01-11T03:45:00
TRX000166,118876,CREDIT,2024-01-07T02:28:00
TRX000167,113244,DEBIT,2024-01-30T03:37:00
TRX000168,119950,DEBIT,2024-01-21T05:00:00
TRX000169,100322,DEBIT,2024-01-14T11:19:00
TRX000170,125322,CREDIT,2024-01-25T14:56:00
TRX000171,115673,CREDIT,2024-01-15T20:08:00
TRX000172,111227,DEBIT,2024-01-25T05:07:00
TRX000173,108207,DEBIT,2024-01-20T00:31:00
TRX000174,113537,CREDIT,2024-01-19T21:28:00
TRX000175,108595,CREDIT,2024-01-26T12:07:00
TRX000176,125352,CREDIT,2024-01-28T08:07:00
TRX000177,118479,DEBIT,2024-01-12T07:06:00
TRX000178,114092,DEBIT,2024-01-16T04:22:00
TRX000179,109651,DEBIT,2024-01-08T07:43:00
TRX000180,101526,CREDIT,2024-01-14T02:04:00
TRX000181,109757,DEBIT,2024-01-18T08:59:00
TRX000182,104272,DEBIT,2024-01-15T05:49:00
TRX000183,129540,DEBIT,2024-01-28T19:34:00
TRX000184,114128,CREDIT,2024-01-30T12:53:00
TRX000185,109773,DEBIT,2024-01-07T03:35:00
TRX000186,121945,DEBIT,2024-01-13T22:59:00
TRX000187,130195,CREDIT,2024-01-31T21:09:00
TRX000188,106771,DEBIT,2024-01-01T20:44:00
TRX000189,119465,DEBIT,2024-01-29T18:41:00
TRX000190,116194,CREDIT,2024-01-13T21:48:00
TRX000191,113189,DEBIT,2024-01-20T18:53:00
TRX000192,132670,CREDIT,2024-01-11T04:04:00
TRX000193,119691,DEBIT,2024-01-31T18:24:00
TRX000194,119429,DEBIT,2024-01-31T05:55:00
TRX000195,124374,CREDIT,2024-01-17T07:50:00
TRX000196,104953,DEBIT,2024-01-26T10:12:00
TRX000197,102199,DEBIT,2024-01-19T18:49:00
TRX000198,129639,DEBIT,2024-01-01T19:52:00
TRX000199,108182,CREDIT,2024-01-20T00:23:00
TRX000200,108583,CREDIT,2024-01-21T19:41:00
TRX000201,115646,CREDIT,2024-01-12T23:03:00
TRX000202,123648,CREDIT,2024-01-12T13:59:00
TRX000203,118467,DEBIT,2024-01-09T17:37:00
TRX000204,113677,CREDIT,2024-01-27T07:09:00
TRX000205,104436,DEBIT,2024-01-07T14:47:00
TRX000206,114350,CREDIT,2024-01-10T00:22:00
TRX000207,131204,DEBIT,2024-01-22T23:25:00
TRX000208,109118,CREDIT,2024-01-28T10:22:00
TRX000209,121004,CREDIT,2024-01-03T08:54:00
TRX000210,115704,DEBIT,2024-01-29T06:53:00
TRX000211,129771,DEBIT,2024-01-08T04:55:00
TRX000212,118860,DEBIT,2024-01-24T01:33:00
TRX000213,132281,DEBIT,2024-01-07T11:21:00
TRX000214,125090,DEBIT,2024-01-30T17:51:00
TRX000215,101321,DEBIT,2024-01-03T05:52:00
TRX000216,103984,DEBIT,2024-01-27T16:03:00
TRX000217,132005,CREDIT,2024-01-09T12:43:00
TRX000218,117876,DEBIT,2024-01-04T19:05:00
TRX000219,123470,DEBIT,2024-01-29T21:46:00
TRX000220,130420,CREDIT,2024-01-26T03:29:00
TRX000221,107309,CREDIT,2024-01-02T23:29:00
TRX000222,131016,DEBIT,2024-01-05T18:14:00
TRX000223,114280,CREDIT,2024-01-22T06:47:00
TRX000224,117285,DEBIT,2024-01-21T11:04:00
TRX000225,112515,DEBIT,2024-01-01T03:40:00
TRX000226,102872,CREDIT,2024-01-03T05:16:00
TRX000227,112856,DEBIT,2024-01-06T10:53:00
TRX000228,102778,CREDIT,2024-01-10T13:19:00
TRX000229,129602,CREDIT,2024-01-31T22:42:00
TRX000230,103108,DEBIT,2024-01-05T00:57:00
TRX000231,106515,CREDIT,2024-01-05T06:07:00
TRX000232,113219,CREDIT,2024-01-11T18:15:00
TRX000233,132143,CREDIT,2024-01-10T20:39:00
TRX000234,128357,DEBIT,2024-01-05T07:02:00
TRX000235,107998,CREDIT,2024-01-23T02:11:00
TRX000236,113427,DEBIT,2024-01-08T09:08:00
TRX000237,130484,CREDIT,2024-01-15T15:05:00
TRX000238,130260,CREDIT,2024-01-20T20:19:00
TRX000239,121255,CREDIT,2024-01-07T17:40:00
TRX000240,107053,DEBIT,2024-01-08T13:13:00
TRX000241,123421,DEBIT,2024-01-06T06:53:00
TRX000242,106936,CREDIT,2024-01-30T17:55:00
TRX000243,109476,DEBIT,2024-01-27T12:15:00
TRX000244,111406,CREDIT,2024-01-25T22:21:00
TRX000245,127376,CREDIT,2024-01-07T06:00:00
TRX000246,105298,CREDIT,2024-01-27T21:06:00
TRX000247,128172,CREDIT,2024-01-01T21:41:00
TRX000248,108158,DEBIT,2024-01-23T16:19:00
TRX000249,110029,DEBIT,2024-01-25T18:16:00
TRX000250,129096,CREDIT,2024-01-24T15:20:00
TRX000251,114392,CREDIT,2024-01-17T12:55:00
TRX000252,120438,DEBIT,2024-01-14T22:39:00
TRX000253,130473,CREDIT,2024-01-13T18:28:00
TRX000254,127796,DEBIT,2024-01-30T20:01:00
TRX000255,117464,DEBIT,2024-01-07T12:44:00
TRX000256,124497,DEBIT,2024-01-27T14:23:00
TRX000257,119626,CREDIT,2024-01-27T22:02:00
TRX000258,126699,DEBIT,2024-01-18T17:41:00
TRX000259,101909,CREDIT,2024-01-07T12:12:00
TRX000260,110291,DEBIT,2024-01-12T18:57:00
TRX000261,127266,CREDIT,2024-01-23T23:16:00
TRX000262,116365,DEBIT,2024-01-28T16:36:00
TRX000263,107915,CREDIT,2024-01-27T13:05:00
TRX000264,130234,DEBIT,2024-01-03T18:51:00
TRX000265,108972,CREDIT,2024-01-25T02:34:00
TRX000266,122192,CREDIT,2024-01-02T11:58:00
TRX000267,129379,DEBIT,2024-01-10T07:50:00
TRX000268,126183,DEBIT,2024-01-08T11:07:00
TRX000269,112105,CREDIT,2024-01-06T20:49:00
TRX000270,104971,DEBIT,2024-01-06T18:09:00
TRX000271,101714,DEBIT,2024-01-08T02:46:00
TRX000272,127564,CREDIT,2024-01-23T14:46:00
TRX000273,130712,DEBIT,2024-01-30T12:53:00
TRX000274,113284,DEBIT,2024-01-09T13:21:00
TRX000275,113076,CREDIT,2024-01-23T05:14:00
TRX000276,119187,DEBIT,2024-01-11T17:27:00
TRX000277,128056,DEBIT,2024-01-29T11:11:00
TRX000278,109177,DEBIT,2024-01-02T16:35:00
TRX000279,117095,DEBIT,2024-01-22T01:43:00
TRX000280,106131,DEBIT,2024-01-08T14:49:00
TRX000281,119229,CREDIT,2024-01-06T21:48:00
TRX000282,117359,CREDIT,2024-01-17T10:19:00
TRX000283,112743,CREDIT,2024-01-19T12:26:00
TRX000284,100210,DEBIT,2024-01-08T06:38:00
TRX000285,124436,CREDIT,2024-01-19T14:29:00
TRX000286,119357,CREDIT,2024-01-17T20:23:00
TRX000287,102189,DEBIT,2024-01-03T14:06:00
TRX000288,129433,DEBIT,2024-01-18T04:06:00
TRX000289,114775,CREDIT,2024-01-02T03:26:00
TRX000290,113494,DEBIT,2024-01-27T10:25:00
TRX000291,104135,CREDIT,2024-01-04T11:01:00
TRX000292,126043,DEBIT,2024-01-17T17:29:00
TRX000293,121552,CREDIT,2024-01-11T22:19:00
TRX000294,122585,DEBIT,2024-01-16T12:41:00
TRX000295,123318,DEBIT,2024-01-10T13:13:00
TRX000296,122211,CREDIT,2024-01-03T03:28:00
TRX000297,106670,CREDIT,2024-01-08T15:49:00
TRX000298,111449,DEBIT,2024-01-14T18:51:00
TRX000299,124299,DEBIT,2024-01-30T00:46:00
TRX000300,117473,DEBIT,2024-01-09T06:06:00
TRX000301,125577,CREDIT,2024-01-21T04:37:00
TRX000302,120428,CREDIT,2024-01-22T18:18:00
TRX000303,106815,DEBIT,2024-01-23T18:45:00
TRX000304,112499,DEBIT,2024-01-25T14:36:00
TRX000305,118166,DEBIT,2024-01-10T07:10:00
TRX000306,118260,CREDIT,2024-01-01T09:05:00
TRX000307,101461,DEBIT,2024-01-07T09:52:00
TRX000308,132052,CREDIT,2024-01-18T18:03:00
TRX000309,121257,DEBIT,2024-01-30T18:39:00
TRX000310,109871,CREDIT,2024-01-07T19:34:00
TRX000311,117425,DEBIT,2024-01-06T03:59:00
TRX000312,109126,CREDIT,2024-01-30T17:32:00
TRX000313,106991,CREDIT,2024-01-25T12:20:00
TRX000314,100736,CREDIT,2024-01-01T03:44:00
TRX000315,123189,CREDIT,2024-01-12T12:17:00
TRX000316,108479,CREDIT,2024-01-24T17:00:00
TRX000317,109671,DEBIT,2024-01-17T00:45:00
TRX000318,125690,DEBIT,2024-01-15T18:01:00
TRX000319,124704,DEBIT,2024-01-08T18:15:00
TRX000320,106197,DEBIT,2024-01-01T13:32:00
TRX000321,107556,DEBIT,2024-01-03T11:20:00
TRX000322,107697,CREDIT,2024-01-25T00:27:00
TRX000323,127013,DEBIT,2024-01-30T01:14:00
TRX000324,131178,CREDIT,2024-01-16T03:32:00
TRX000325,125507,DEBIT,2024-01-22T02:58:00
TRX000326,114879,DEBIT,2024-01-09T20:44:00
TRX000327,109389,CREDIT,2024-01-06T22:00:00
TRX000328,116247,CREDIT,2024-01-04T22:59:00
TRX000329,123309,DEBIT,2024-01-30T21:16:00
TRX000330,125976,CREDIT,2024-01-05T20:05:00
TRX000331,127629,DEBIT,2024-01-12T04:11:00
TRX000332,100952,DEBIT,2024-01-31T08:02:00
TRX000333,102797,DEBIT,2024-01-14T07:59:00
TRX000334,101901,DEBIT,2024-01-24T19:47:00
TRX000335,116517,CREDIT,2024-01-21T01:52:00
TRX000336,100987,CREDIT,2024-01-17T14:40:00
TRX000337,129679,DEBIT,2024-01-04T01:02:00
TRX000338,128928,DEBIT,2024-01-24T06:48:00
TRX000339,128702,DEBIT,2024-01-05T06:02:00
TRX000340,122440,DEBIT,2024-01-26T02:38:00
TRX000341,113373,CREDIT,2024-01-14T18:03:00
TRX000342,120460,CREDIT,2024-01-06T14:43:00
TRX000343,124226,CREDIT,2024-01-20T01:34:00
TRX000344,127344,CREDIT,2024-01-02T01:20:00
TRX000345,122073,DEBIT,2024-01-27T23:52:00
TRX000346,120851,DEBIT,2024-01-12T19:49:00
TRX000347,112505,DEBIT,2024-01-24T04:30:00
TRX000348,101046,CREDIT,2024-01-22T01:56:00
TRX000349,126105,DEBIT,2024-01-15T18:23:00
TRX000350,108421,CREDIT,2024-01-12T05:52:00
TRX000351,121447,CREDIT,2024-01-26T09:53:00
TRX000352,126174,DEBIT,2024-01-10T09:53:00
TRX000353,110630,CREDIT,2024-01-05T21:47:00
TRX000354,111764,DEBIT,2024-01-21T02:09:00
TRX000355,107368,CREDIT,2024-01-14T04:26:00
TRX000356,122201,DEBIT,2024-01-07T22:05:00
TRX000357,106100,DEBIT,2024-01-30T04:42:00
TRX000358,126297,DEBIT,2024-01-14T07:49:00
TRX000359,132359,CREDIT,2024-01-05T16:49:00
TRX000360,105644,DEBIT,2024-01-26T10:15:00
TRX000361,127264,CREDIT,2024-01-29T20:10:00
TRX000362,120868,DEBIT,2024-01-18T00:32:00
TRX000363,103585,CREDIT,2024-01-22T05:54:00
TRX000364,105636,CREDIT,2024-01-09T11:31:00
TRX000365,126188,DEBIT,2024-01-14T22:56:00
TRX000366,112903,CREDIT,2024-01-01T14:37:00
TRX000367,122045,DEBIT,2024-01-07T15:35:00
TRX000368,131131,CREDIT,2024-01-26T21:09:00
TRX000369,113914,CREDIT,2024-01-01T18:51:00
TRX000370,110368,DEBIT,2024-01-19T12:45:00
TRX000371,112680,DEBIT,2024-01-03T22:18:00
TRX000372,110920,DEBIT,2024-01-20T15:15:00
TRX000373,130250,CREDIT,2024-01-22T11:25:00
TRX000374,128424,DEBIT,2024-01-20T08:06:00
TRX000375,111058,DEBIT,2024-01-12T05:03:00
TRX000376,104424,DEBIT,2024-01-14T23:14:00
TRX000377,118003,DEBIT,2024-01-11T07:39:00
TRX000378,111807,DEBIT,2024-01-04T10:12:00
TRX000379,107883,DEBIT,2024-01-09T19:48:00
TRX000380,114606,CREDIT,2024-01-05T05:51:00
TRX000381,102052,DEBIT,2024-01-29T12:00:00
TRX000382,101877,CREDIT,2024-01-27T14:30:00
TRX000383,105660,CREDIT,2024-01-30T20:44:00
TRX000384,128652,CREDIT,2024-01-05T08:06:00
TRX000385,106968,DEBIT,2024-01-13T18:40:00
TRX000386,118935,CREDIT,2024-01-12T02:09:00
TRX000387,107974,DEBIT,2024-01-26T06:57:00
TRX000388,110975,CREDIT,2024-01-28T04:44:00
TRX000389,115291,CREDIT,2024-01-23T19:02:00
TRX000390,131517,CREDIT,2024-01-06T22:08:00
TRX000391,105884,CREDIT,2024-01-01T19:36:00
TRX000392,115453,CREDIT,2024-01-13T15:16:00
TRX000393,122752,DEBIT,2024-01-05T11:40:00
TRX000394,107543,CREDIT,2024-01-14T23:40:00
TRX000395,109567,DEBIT,2024-01-23T18:17:00
TRX000396,110366,DEBIT,2024-01-08T22:28:00
TRX000397,101023,DEBIT,2024-01-29T16:31:00
TRX000398,125810,CREDIT,2024-01-31T03:42:00
TRX000399,125885,DEBIT,2024-01-17T11:38:00
TRX000400,108940,DEBIT,2024-01-10T19:00:00
TRX000401,120912,CREDIT,2024-01-19T00:18:00
TRX000402,116748,CREDIT,2024-01-01T02:10:00
TRX000403,129993,DEBIT,2024-01-31T23:38:00
TRX000404,100651,DEBIT,2024-01-25T11:31:00
TRX000405,118888,DEBIT,2024-01-16T06:47:00
TRX000406,128411,DEBIT,2024-01-10T18:27:00
TRX000407,128282,DEBIT,2024-01-22T21:42:00
TRX000408,114054,CREDIT,2024-01-26T17:49:00
TRX000409,116919,CREDIT,2024-01-04T19:22:00
TRX000410,129566,CREDIT,2024-01-08T15:03:00
TRX000411,131395,DEBIT,2024-01-02T11:32:00
TRX000412,102912,DEBIT,2024-01-08T13:55:00
TRX000413,116349,DEBIT,2024-01-28T21:16:00
TRX000414,114785,DEBIT,2024-01-16T21:56:00
TRX000415,101846,CREDIT,2024-01-27T17:46:00
TRX000416,117430,DEBIT,2024-01-29T03:14:00
TRX000417,115376,CREDIT,2024-01-22T09:27:00
TRX000418,113233,DEBIT,2024-01-04T13:44:00
TRX000419,120953,DEBIT,2024-01-31T05:59:00
TRX000420,124725,CREDIT,2024-01-27T04:30:00
TRX000421,126192,DEBIT,2024-01-28T08:36:00
TRX000422,112389,DEBIT,2024-01-22T01:33:00
TRX000423,118724,DEBIT,2024-01-24T06:05:00
TRX000424,104160,DEBIT,2024-01-29T05:31:00
TRX000425,117061,DEBIT,2024-01-14T10:42:00
TRX000426,120967,DEBIT,2024-01-02T17:25:00
TRX000427,132319,DEBIT,2024-01-28T02:38:00
TRX000428,109341,CREDIT,2024-01-04T10:37:00
TRX000429,115870,DEBIT,2024-01-17T22:01:00
TRX000430,120166,DEBIT,2024-01-06T02:07:00
TRX000431,109023,CREDIT,2024-01-31T07:42:00
TRX000432,103237,CREDIT,2024-01-09T08:23:00
TRX000433,105481,DEBIT,2024-01-07T14:10:00
TRX000434,127483,CREDIT,2024-01-03T10:58:00
TRX000435,121051,CREDIT,2024-01-19T18:57:00
TRX000436,110153,CREDIT,2024-01-09T05:13:00
TRX000437,111281,DEBIT,2024-01-28T19:25:00
TRX000438,122237,DEBIT,2024-01-24T20:46:00
TRX000439,106448,DEBIT,2024-01-03T10:27:00
TRX000440,130595,CREDIT,2024-01-16T09:06:00
TRX000441,111259,CREDIT,2024-01-27T04:24:00
TRX000442,122566,CREDIT,2024-01-09T03:39:00
TRX000443,101690,DEBIT,2024-01-21T18:44:00
TRX000444,100611,CREDIT,2024-01-13T02:20:00
TRX000445,103455,DEBIT,2024-01-21T13:55:00
TRX000446,130274,DEBIT,2024-01-25T01:26:00
TRX000447,113005,DEBIT,2024-01-30T17:13:00
TRX000448,128052,CREDIT,2024-01-27T09:30:00
TRX000449,124967,DEBIT,2024-01-29T10:23:00
TRX000450,102236,DEBIT,2024-01-21T22:39:00
TRX000451,100535,DEBIT,2024-01-13T10:57:00
TRX000452,107730,CREDIT,2024-01-22T22:35:00
TRX000453,131370,DEBIT,2024-01-21T02:26:00
TRX000454,123463,CREDIT,2024-01-05T08:28:00
TRX000455,107063,DEBIT,2024-01-10T11:24:00
TRX000456,127533,DEBIT,2024-01-03T20:08:00
TRX000457,120551,DEBIT,2024-01-13T18:40:00
TRX000458,121358,CREDIT,2024-01-02T05:38:00
TRX000459,120698,DEBIT,2024-01-06T23:48:00
TRX000460,112122,CREDIT,2024-01-17T21:23:00
TRX000461,114912,DEBIT,2024-01-07T07:46:00
TRX000462,115450,DEBIT,2024-01-07T10:36:00
TRX000463,129241,DEBIT,2024-01-28T02:49:00
TRX000464,116287,CREDIT,2024-01-23T20:10:00
TRX000465,123804,DEBIT,2024-01-01T09:32:00
TRX000466,112775,CREDIT,2024-01-06T09:41:00
TRX000467,119445,CREDIT,2024-01-04T00:55:00
TRX000468,107771,CREDIT,2024-01-10T05:50:00
TRX000469,126107,DEBIT,2024-01-09T16:56:00
TRX000470,118886,DEBIT,2024-01-23T21:27:00
TRX000471,118446,CREDIT,2024-01-05T04:11:00
TRX000472,127383,CREDIT,2024-01-18T22:24:00
TRX000473,129304,DEBIT,2024-01-05T17:43:00
TRX000474,128337,CREDIT,2024-01-06T06:17:00
TRX000475,128903,DEBIT,2024-01-16T02:58:00
TRX000476,124943,DEBIT,2024-01-10T18:05:00
TRX000477,115584,DEBIT,2024-01-28T05:08:00
TRX000478,105873,DEBIT,2024-01-06T03:04:00
TRX000479,120634,CREDIT,2024-01-22T20:23:00
TRX000480,129503,CREDIT,2024-01-27T10:25:00
TRX000481,127925,CREDIT,2024-01-21T14:21:00
TRX000482,117071,CREDIT,2024-01-06T19:40:00
TRX000483,126906,CREDIT,2024-01-03T21:22:00
TRX000484,117934,CREDIT,2024-01-11T10:05:00
TRX000485,110082,CREDIT,2024-01-20T01:24:00
TRX000486,128157,DEBIT,2024-01-17T10:25:00
TRX000487,116653,DEBIT,2024-01-25T17:46:00
TRX000488,109244,DEBIT,2024-01-11T13:17:00
TRX000489,113885,CREDIT,2024-01-14T03:37:00
TRX000490,125250,DEBIT,2024-01-25T20:29:00
TRX000491,116743,CREDIT,2024-01-05T15:24:00
TRX000492,110860,CREDIT,2024-01-06T17:37:00
TRX000493,127326,DEBIT,2024-01-06T11:34:00
TRX000494,105544,DEBIT,2024-01-16T20:09:00
TRX000495,124517,CREDIT,2024-01-27T19:17:00
TRX000496,116561,DEBIT,2024-01-14T08:12:00
TRX000497,104066,CREDIT,2024-01-05T04:44:00
TRX000498,131911,CREDIT,2024-01-12T02:55:00
